category,process_area,description,key_questions,common_bottlenecks
customer_journey,Lead Generation,How potential customers discover and enter the pipeline,How do leads find you?|What channels generate leads?|How many leads per week?|What's the cost per lead?|What percentage convert?,No tracking|Manual outreach only|No follow-up system|Inconsistent messaging
customer_journey,Sales Process,From first contact through closing the deal,What happens after first contact?|How many touches to close?|What's your close rate?|Who runs the sales call?|What tools do you use?,No CRM|Manual follow-ups|No proposal template|Long sales cycle|No pipeline visibility
customer_journey,Client Onboarding,Getting new clients set up and started,What happens after they sign?|What information do you collect?|How long until they're active?|Who owns onboarding?,Manual setup|No welcome sequence|Missing intake forms|Unclear handoffs
customer_journey,Service Delivery,How you actually deliver the core service or product,What are the steps to deliver?|Who does what?|What tools are used?|What's the quality check?,Founder bottleneck|No SOPs|Inconsistent quality|No project management
customer_journey,Client Communication,How you keep clients informed and engaged,How often do you update clients?|What channels?|Who manages communication?|How do you handle complaints?,Ad-hoc updates|No status reports|Reactive only|No feedback loop
customer_journey,Invoicing and Payment,How you bill and collect payment,When do you invoice?|What payment terms?|How do you track AR?|What's your collection process?,Manual invoicing|Late payments|No reminders|No payment tracking
operations,Project Management,How projects are planned tracked and delivered,What PM tools do you use?|How do you track progress?|What are your milestones?|How do you handle scope creep?,No PM tool|No milestone tracking|Scope creep|No resource planning
operations,Team Communication,How the team communicates and coordinates,What tools for internal comms?|How often do you meet?|How are decisions documented?|How are tasks assigned?,Too many tools|No meeting cadence|Lost context|Undocumented decisions
operations,Documentation,How knowledge is captured and shared,Where do you store docs?|Who creates documentation?|How do you find information?|What's documented vs in heads?,Nothing documented|Scattered across tools|Outdated docs|Tribal knowledge
operations,Quality Assurance,How you ensure work meets standards,What are your quality standards?|Who reviews work?|What's your testing process?|How do you handle defects?,No QA process|No review step|Ad-hoc testing|No acceptance criteria
operations,Reporting and Analytics,How you measure and report on business performance,What metrics do you track?|How often do you review?|What tools for reporting?|Who sees the reports?,No metrics|Manual reporting|No dashboards|Vanity metrics only
admin,HR and Hiring,How you recruit evaluate and manage team members,How do you find candidates?|What's your interview process?|How do you evaluate fit?|How do you onboard new team?,No hiring process|No evaluation criteria|No onboarding|No performance reviews
admin,Finance and Bookkeeping,How money is tracked and managed,Who does bookkeeping?|What accounting software?|How do you track expenses?|How do you forecast?,Manual bookkeeping|No accounting software|No expense tracking|No cash flow visibility
admin,Legal and Compliance,How contracts and legal requirements are handled,Who handles contracts?|What templates do you use?|How do you ensure compliance?|Where are contracts stored?,No contract templates|No legal review|Compliance gaps|Scattered documents
admin,Scheduling and Calendar,How time and appointments are managed,How do clients book time?|How do you manage your calendar?|How do you avoid conflicts?|What scheduling tools?,Manual scheduling|No booking tool|Double bookings|No buffer time
technology,Tools and Systems,What technology stack powers the business,What tools do you use daily?|How do they connect?|What's manual between tools?|What do you wish was automated?,Disconnected systems|Manual data entry|No integrations|Tool sprawl
technology,Data Management,How business data is stored organized and protected,Where is your data?|How is it backed up?|Who has access?|How do you handle sensitive data?,Data in multiple places|No backups|No access controls|No data strategy
